stock_id,year,60日均價(元),本季以來報酬率 %,class
2493,201703,20.8156,5.3405,1
2495,201703,13.8985,4.9536,1
2496,201703,74.7263,19.0245,1
2497,201703,32.88,5.4773,1
2498,201703,77.18,-1.8985,0
2501,201703,15.2565,18.6812,1
2504,201703,7.9668,27.2998,1
2505,201703,16.7609,8.7867,1
2506,201703,11.32,6.6079,1
2509,201703,10.6565,-1.3661,0
2511,201703,8.5558,13.3335,1
2514,201703,16.42,-2.6866,0
2515,201703,5.9092,7.0967,1
2516,201703,7.31,5.674,1
2520,201703,18.4042,11.7648,1
2524,201703,20.87,13.0234,1
2527,201703,17.0186,12.5654,1
2528,201703,6.86,38.8976,1
2530,201703,12.4,11.111,1
2534,201703,18.0128,1.3366,1
2535,201703,14.6892,4.1132,1
2536,201703,19.5921,0.3889,1
2537,201703,9.07,11.6916,1
2538,201703,8.0915,18.4345,1
2539,201703,14.7291,12.4996,1
2540,201703,24.47,3.5342,1
2542,201703,32.2096,17.4005,1
2543,201703,8.82,-1.0812,0
2545,201703,31.621,14.5362,1
2546,201703,13.4752,12.8655,1
2547,201703,8.7161,20.0643,1
2548,201703,48.295,15.5371,1
2597,201703,29.2037,17.5607,1
2601,201703,6.7446,22.5753,1
2603,201703,12.35,27.9278,1
2605,201703,19.632,21.5383,1
2606,201703,24.577,30.08,1
2607,201703,12.9326,11.7188,1
2608,201703,37.5134,-3.9237,0
2609,201703,13.03,45.021,1
2610,201703,9.43,13.441,1
2611,201703,6.79,5.1468,1
2612,201703,26.8939,17.424,1
2613,201703,12.1067,6.5384,1
2614,201703,7.1312,33.2864,1
2615,201703,15.79,7.9752,1
2616,201703,22.9279,13.2617,1
2617,201703,11.4721,9.7562,1
2618,201703,12.5644,10.2741,1
2630,201703,.,74.2858,1
2633,201703,17.9279,16.0326,1
2634,201703,32.3771,0.5235,1
2636,201703,16.8759,-6.6209,0
2637,201703,25.0493,8.3745,1
2642,201703,22.2436,-0.805,0
2701,201703,11.638,4.0593,1
2702,201703,14.09,-1.2342,0
2704,201703,22.04,0.6426,1
2705,201703,15.39,4.0489,1
2706,201703,13.9687,7.3621,1
2707,201703,133.616,-7.3966,0
2712,201703,24.83,-2.9852,0
2722,201703,35.7524,-4.2652,0
2723,201703,212.734,17.1428,1
2727,201703,117.553,6.4634,1
2731,201703,74.3816,9.7947,1
2739,201703,28.5783,16.5092,1
2748,201703,40.3025,16.701,1
2801,201703,13.9799,7.8717,1
2809,201703,24.2182,7.1049,1
2812,201703,7.0056,7.2984,1
2816,201703,12.8447,-4.6052,0
2820,201703,10.9944,6.923,1
2832,201703,15.7191,-1.2952,0
2834,201703,6.5199,3.0675,1
2836,201703,7.6688,8.5288,1
2838,201703,7.021,3.4639,1
2841,201703,10.74,10.3448,1
2845,201703,7.1207,5.0551,1
2849,201703,11.2542,-7.2167,0
2850,201703,20.9804,-2.846,0
2851,201703,11.9613,-2.3569,0
2852,201703,11.2491,2.6517,1
2855,201703,9.7388,13.1355,1
2867,201703,13.0786,-2.353,0
2880,201703,12.103,4.3075,1
2881,201703,42.7425,-2.9413,0
2882,201703,40.9216,1.0377,1
2883,201703,6.5627,3.3498,1
2884,201703,12.3707,0.5447,1
2885,201703,10.3916,6.6666,1
2886,201703,19.0151,6.5218,1
2887,201703,9.0982,7.2036,1
2888,201703,7.1751,12.0251,1
2889,201703,6.6165,13.0011,1
2890,201703,7.2815,4.2954,1
2891,201703,15.054,6.2323,1
2892,201703,13.7948,7.5586,1
2897,201703,.,7.766,1
2901,201703,24.2395,0.3969,1
2903,201703,13.6607,0.9375,1
2904,201703,18.7861,-1.4375,0
2905,201703,17.0351,10.7222,1
2906,201703,10.2401,13.744,1
2908,201703,16.4622,-0.9948,0
2910,201703,26.8429,-31.5385,0
2911,201703,10.81,-1.3393,0
2912,201703,195.744,8.2251,1
2913,201703,14.24,18.9284,1
2915,201703,69.3687,-9.1248,0
2923,201703,17.8904,-1.8825,0
2929,201703,62.7623,-0.4742,0
2936,201703,40.7,-4.7569,0
3002,201703,9.9761,8.4909,1
3003,201703,36.1337,15.6502,1
3004,201703,44.0123,1.4197,1
3005,201703,33.8991,14.586,1
3006,201703,27.959,2.8573,1
3008,201703,4176.92,26.1216,1
3010,201703,38.0632,6.3181,1
3011,201703,8.51,27.1988,1
3013,201703,16.7002,25.641,1
3014,201703,24.4924,17.2469,1
3015,201703,18.8565,4.8424,1
3016,201703,21.4205,45.1276,1
3017,201703,22.5491,4.183,1
3018,201703,19.26,50.6925,1
3019,201703,40.8227,70.164,1
3021,201703,10.7815,3.984,1
3022,201703,67.2157,7.1591,1
3023,201703,60.9286,6.1255,1
3024,201703,7.8534,37.9217,1
3025,201703,10.8492,-1.7167,0
3026,201703,36.3879,20.3731,1
3027,201703,14.71,9.274,1
3028,201703,13.2612,7.9415,1
3029,201703,15.1101,9.4975,1
3030,201703,31.3246,12.0421,1
3031,201703,11.1945,44.0478,1
3032,201703,31.9798,1.6817,1
3033,201703,12.8562,3.8236,1
3034,201703,93.5248,10.3285,1
3035,201703,30.868,23.5585,1
3036,201703,34.7632,3.1396,1
3037,201703,12.6348,34.6773,1
3038,201703,9.2518,12.2449,1
3040,201703,28.1056,10.8179,1
3041,201703,25.74,3.7855,1
3042,201703,34.8104,6.503,1
3043,201703,2.31,10.9523,1
3044,201703,64.5722,17.4452,1
3045,201703,88.6852,7.2118,1
3046,201703,18.47,0.8196,1
3047,201703,10.2273,7.1429,1
3048,201703,14.1573,-2.7108,0
3049,201703,10.7227,34.4339,1
3050,201703,9.4505,4.5662,1
3051,201703,4.3,-4.499,0
3052,201703,7.217,6.7484,1
3054,201703,23.97,-0.0002,0
3055,201703,14.6883,-2.0292,0
3056,201703,13.8963,17.8771,1
3057,201703,28.4915,-9.554,0
3058,201703,9.8003,0.0001,1
3059,201703,23.0886,9.255,1
3060,201703,37.01,13.2889,1
3062,201703,18.0122,6.7358,1
3090,201703,18.0294,9.8358,1
3092,201703,26.4674,44.6484,1
3094,201703,18.8121,6.1463,1
3130,201703,113.204,7.1427,1
3138,201703,.,24.0036,1
3149,201703,21.05,-1.9509,0
3164,201703,21.0586,-9.3618,0
3167,201703,24.7291,40.0783,1
3189,201703,69.401,12.6399,1
3209,201703,18.3296,6.173,1
3229,201703,10.74,-9.3332,0
3231,201703,20.2643,11.4232,1
3257,201703,29.6986,1.2381,1
3266,201703,10.8606,0.4348,1
3296,201703,14.6529,55.6003,1
3305,201703,26.6942,3.6109,1
3308,201703,8.02,0.6435,1
3311,201703,26.79,7.2849,1
3312,201703,7.76,-0.0001,0
3321,201703,15.506,-0.3524,0
3338,201703,27.9915,0.7419,1
3346,201703,76.5935,106.504,1
3356,201703,37.4,-10.3737,0
3376,201703,75.7182,3.8738,1
3380,201703,18.0226,20.4081,1
3383,201703,13.92,41.7624,1
3406,201703,180.101,174.107,1
3413,201703,75.6903,37.529,1
3416,201703,45.3364,7.4426,1
3419,201703,17.91,36.1703,1
3432,201703,10.2926,2.0161,1
3437,201703,22.98,25.6694,1
3443,201703,84.3579,29.2994,1
3450,201703,92.8199,17.0543,1
3454,201703,66.4827,2.3808,1
3481,201703,11.4009,8.1898,1
3494,201703,12.12,-4.4181,0
3501,201703,39.5137,5.1084,1
3504,201703,30.22,45.1926,1
3515,201703,33.8164,9.2372,1
3518,201703,21.94,3.2111,1
3528,201703,22.6633,14.7311,1
3530,201703,.,0.6847,1
3532,201703,148.075,81.5379,1
3533,201703,88.9339,-4.6219,0
3535,201703,17.0188,-18.0791,0
3536,201703,20.08,37.3221,1
3543,201703,.,-2.9807,0
3545,201703,46.945,14.9144,1
3550,201703,12.73,22.5584,1
3557,201703,13.0442,-7.1428,0
3563,201703,61.0528,35.1399,1
3576,201703,15.3077,0.9936,1
3583,201703,50.8361,-4.1738,0
3588,201703,30.1014,-12.6375,0
3591,201703,16.2291,35.3384,1
3592,201703,43.2343,26.9333,1
3593,201703,14.74,48.4208,1
3596,201703,46.3017,6.1403,1
3605,201703,23.2908,4.8683,1
3607,201703,28.71,-5.136,0
3617,201703,79.8282,-1.8091,0
3622,201703,12.0453,4.8976,1
