stock_id,year,營業毛利率,營業利益率,ROA(A)稅後息前,ROE(A)－稅後,流動比率,負債比率,總資產週轉次數,應收帳款週轉次數,季底每股稅後淨利,每股淨值(C),當季季底P/E,當季季底P/B,當季季底PSR
1506,201703,16.61,0.47,1.11,1.89,116.54,53.09,0.13,0.76,0.18,10.03,162.67,2.29,1.86
1512,201703,4.3,-10.49,-2.28,-8.82,104.93,71.61,0.19,0.73,-0.57,5.83,.,1.36,0.37
1513,201703,20.2,6.53,0.76,1.4,151.11,48.5,0.17,1.45,0.25,17.83,19.38,1.14,0.7
1514,201703,13.57,2.55,0.07,0.04,172.4,42.84,0.15,0.41,0.01,13.46,89.24,0.8,0.61
1515,201703,21.73,2.71,0.23,0.14,108.35,55.62,0.17,0.99,0.02,12.46,27.02,1.53,0.91
1516,201703,2.72,1.57,0.87,1.12,487,16.99,0.65,1.74,0.13,11.94,51.2,1.67,0.71
1517,201703,16.05,1.95,0.13,0.18,380.2,27.41,0.14,0.89,-0.25,14.18,15.26,0.81,0.99
1519,201703,15.75,4.02,0.57,1.07,175.26,53.3,0.17,0.52,0.14,12.59,14.78,1.35,0.75
1521,201703,18.74,9.39,3.8,7.25,147.55,46.24,0.38,1.35,1.82,25.88,11.11,3.13,1.06
1522,201703,24.76,7.24,1.56,4.09,124.25,64.2,0.21,1.59,0.89,20.98,9.01,1.58,0.65
1524,201703,20.83,10.94,0.33,0.49,119.32,55.99,0.13,1.54,0.06,11.76,10.81,1.12,0.9
1525,201703,9.48,0.37,3.05,3.77,129.08,19.55,0.06,1.79,1.82,48.04,12.46,2.22,6.52
1526,201703,27.55,12.56,-1.91,-4.37,174.5,54.97,0.16,1.26,-0.57,12.71,15.94,1.22,0.78
1527,201703,28.23,20.35,-1.75,-8.37,118.4,78.48,0.07,1.24,-2.08,22.95,22.57,4.02,3.12
1528,201703,30.73,0.19,-0.21,-0.69,162.49,56.08,0.17,0.66,-0.09,12.7,19.3,0.85,0.5
1529,201703,12.18,0.47,2.26,3.25,496.78,20.17,0.08,0.54,0.02,1.01,.,3.84,11.37
1530,201703,18.26,4.43,-0.3,-0.91,139.43,59.11,0.14,0.76,-0.25,26.99,19.76,1.21,0.82
1531,201703,26.3,12.94,0.25,0.28,489.71,17.85,0.13,0.68,0.06,20.25,26.94,0.99,1.61
1532,201703,26.8,11.11,1.07,1.94,199.52,48.26,0.09,0.73,0.43,30.69,5.53,1.01,0.87
1533,201703,38.02,10.07,-0.51,-1.07,206.84,46.25,0.13,1.08,-0.24,21.76,23.53,1.96,1.85
1535,201703,10.83,5.41,0.3,0.61,169.58,54.05,0.25,2.1,0.16,25.32,19.45,1.84,0.73
1536,201703,34.8,23.03,2.28,4.75,224.76,47.87,0.14,1.3,1,25.47,24.25,4.99,5.35
1537,201703,24.17,17.56,3.73,5,425.88,23.72,0.35,1.77,2.2,45.03,10.52,3.5,1.8
1538,201703,18.08,-7.46,1.05,2.18,73.92,63.3,0.12,1.73,0.15,6.86,.,0.92,0.75
1539,201703,13.04,9.32,-0.71,-2.69,131.4,67.29,0.24,2.06,-0.43,16.5,10.75,1.59,0.57
1540,201703,29.7,19.96,-1.65,-1.93,540.83,14.88,0.09,1.48,-0.31,16.16,37.97,0.95,2.47
1541,201703,18.5,8.98,-0.11,-0.33,138.98,51.08,0.32,0.71,-0.05,16.04,15.17,3.73,1.35
1558,201703,24.09,6.84,-1.31,-1.81,306.82,25.89,0.16,0.83,-1.37,73.15,10.07,2.13,1.63
1560,201703,33.67,19.23,3.01,3.93,211.1,22.37,0.22,1.45,1.07,27.89,14.75,2.64,2.42
1568,201703,15.16,8.32,0.82,1.6,148.84,55.35,0.24,0.86,0.24,14.94,14.44,2.07,1.07
1582,201703,23.88,13.81,2.38,3.72,288.38,34.4,0.23,0.63,1.29,37.35,7.12,1.85,1.16
1583,201703,24.05,6.58,-0.15,-0.56,150.34,56.85,0.13,0.78,-0.16,34.43,19.41,2.03,1.15
1587,201703,21.75,2.51,0.09,-0.05,137.73,54.18,0.14,1.29,-0.01,20.41,31.97,1.47,1.13
1589,201703,26.88,7.49,0.53,0.67,301.26,35.29,0.1,0.72,0.6,77.59,12.34,1.37,1.83
1590,201703,51.84,29.14,2.86,5.79,98.77,53.45,0.12,0.73,3.31,60.26,20.92,4.95,4.79
1597,201703,36.98,15.22,0.64,0.89,256.03,39.35,0.12,0.74,0.21,22.99,21.9,1.63,2.16
1598,201703,31.86,6.19,-1.55,-3.93,124.32,58.88,0.21,1.65,-0.93,22.59,16.72,1.84,0.82
1603,201703,11.52,4.91,1.2,1.85,149.79,35.95,0.07,0.52,0.57,30.82,22.53,1.01,1.75
1604,201703,17.24,1.73,0.83,1.33,149.59,40.65,0.15,2.27,0.2,14.93,15.56,1.37,1.03
1605,201703,5.71,3.24,0.84,1.31,174.46,41.64,0.33,2.9,0.26,19.06,7.46,0.74,0.32
1608,201703,7.76,5.41,1.14,1.65,180.24,32.06,0.16,1.65,0.26,16.96,39.8,0.81,0.8
1609,201703,8.33,3.34,0.52,0.69,143.11,58.84,0.21,1.3,0.05,11.33,8.23,0.61,0.26
1611,201703,24.02,2.64,0.25,0.29,157.81,35.45,0.1,1.19,0.03,10.64,.,0.78,1.25
1612,201703,8.98,2.98,1.21,1.42,396.71,14.87,0.17,1.27,0.2,14.41,59.42,0.68,0.92
1614,201703,17.53,2.91,0.49,0.6,282.13,21.55,0.17,3.75,0.12,20.1,18.71,1.35,1.37
1615,201703,8.42,2.61,0.34,0.43,196.55,27.07,0.23,1.49,0.06,13.6,9.51,0.88,0.57
1616,201703,3.15,-2.91,-0.24,-0.65,150.6,50.69,0.18,0.97,-0.06,8.89,28.31,0.74,0.44
1617,201703,15.11,7.56,0.1,0.03,164.72,50.21,0.23,1.08,0,10.81,9.1,0.8,0.44
1618,201703,4.53,-1.6,-0.17,-0.18,790.21,7.18,0.09,0.65,-0.03,16.51,31.43,0.53,1.09
1626,201703,19.09,1.49,0.66,1.43,100.7,67.13,0.34,1.52,0.31,21.07,12.51,1.38,0.33
1701,201703,30.8,6.79,1.04,1.72,179.41,43.85,0.16,0.89,0.32,18.55,15.23,1.03,0.97
1702,201703,33.18,8.33,1.28,3.79,136.73,70.16,0.21,2.4,0.86,21.71,10.61,3.38,1.11
1707,201703,86.8,22.31,4.04,6.45,130.16,36.58,0.21,10.87,1.92,36.76,11.34,5.22,2.81
1708,201703,28.41,14.64,1.19,1.85,111.12,46.1,0.1,1.59,0.49,27.43,9.15,1.07,1.39
1709,201703,19.78,11.86,1.49,2.02,298.65,27.68,0.22,2.35,0.29,16.16,9.19,1.27,1.09
1710,201703,19.59,16.61,2.39,4.71,76.47,52.03,0.21,4.42,0.52,15.76,56.91,1.52,0.9
1711,201703,21.13,4.99,0.8,1.18,156.48,39.96,0.17,1.34,0.17,14.09,32.33,1.46,1.19
1712,201703,26.07,4.54,1.02,2.33,151.52,60.23,0.27,1.88,0.33,16.14,10.29,1,0.37
1713,201703,15.84,7.5,0.75,0.81,2289.48,7.26,0.06,1.09,0.12,15.19,22.22,1.08,3.86
1714,201703,8.24,2.41,0.57,0.76,163.71,48.65,0.28,1.46,0.07,11.16,6.13,0.79,0.27
1717,201703,18.38,4.01,1.1,2.28,217.95,59.47,0.18,0.74,0.42,18.16,12.77,1.82,0.93
1718,201703,34.19,14.68,0.1,1.24,88.55,92.29,0.01,0.99,-0.01,17.66,4.07,0.6,0.36
1720,201703,45.43,13.21,1.11,1.6,203.57,30.85,0.15,1.02,0.33,20.92,13.37,1.6,1.61
1721,201703,13.09,5.5,0.33,0.45,241.22,41.25,0.21,1.27,0.05,11.02,16.06,1.43,1.02
1722,201703,21.88,11.66,0.67,1.01,767.68,34.24,0.04,1.95,0.52,51.21,50.29,0.82,3.35
1723,201703,23,19.6,2.9,4.05,152.4,29.3,0.17,3.31,1.14,29.03,22.79,4.15,5.14
1725,201703,4.86,2.41,0.56,0.98,183.81,48.58,0.46,2.04,0.14,15.11,10.96,0.95,0.28
1726,201703,27.16,15.13,2.14,2.54,660.2,15.09,0.18,0.96,1.3,51.44,11.19,1.56,1.71
